"municipality","community","total","muslims","serbs","croats","yugoslavs","others","muslims_percent","serbs_percent","croats_percent","yugoslavs_percent","others_percent","population_percent_of_municipality","fractionalization","polarization"
"Banja Luka","Ada",3758,517,2405,159,252,425,0.137573177221927,0.639968068121341,0.042309739222991,0.0670569451836083,0.113092070250133,0.0192036465466141,0.552437928410167,0.724119395278314
"Banja Luka","Agino Selo",1106,2,1077,2,5,20,0.00180831826401447,0.97377938517179,0.00180831826401447,0.00452079566003617,0.0180831826401447,0.00565173844612963,0.0513997298967659,0.100846249710038
"Banja Luka","Bistrica",1217,6,1186,1,18,6,0.00493015612161052,0.974527526705012,0.000821692686935086,0.0147904683648316,0.00493015612161052,0.00621895631911371,0.0500280536821218,0.0978235099771936
"Banja Luka","Borik 1",3973,874,1665,422,852,160,0.219984898061918,0.419078781776995,0.106216964510446,0.214447520765165,0.040271834885477,0.0203023117960877,0.717088015891815,0.750156008684562
"Banja Luka","Borik 2",4041,775,1699,431,889,247,0.191784211828755,0.420440485028458,0.106656768126701,0.219995050730017,0.0611234842860678,0.0206497966191771,0.722939045778053,0.734386476796927
"Banja Luka","Borik 3",2220,359,998,227,514,122,0.161711711711712,0.44954954954955,0.102252252252252,0.231531531531532,0.054954954954955,0.0113443574596815,0.704672104536969,0.746402623953391
"Banja Luka","Borik 4",1628,325,639,166,422,76,0.19963144963145,0.392506142506143,0.101965601965602,0.259213759213759,0.0466830466830467,0.00831919547043313,0.726318148615446,0.746708701859352
"Banja Luka","Borkovići",2291,0,2240,2,6,43,0,0.97773897861196,0.000872981230903536,0.00261894369271061,0.018769096464426,0.0117071724955542,0.0436665897584557,0.086536864468136
"Banja Luka","Bočac",1685,1,1670,1,3,10,0.000593471810089021,0.991097922848665,0.000593471810089021,0.00178041543026706,0.00593471810089021,0.00861046951331684,0.0176858121494422,0.035132674986824
"Banja Luka","Bronzani Majdan",3325,421,2789,43,36,36,0.126616541353383,0.838796992481203,0.0129323308270677,0.0108270676691729,0.0108270676691729,0.0169909858348834,0.279986160890949,0.511272537266055
"Banja Luka","Budžak 1",2792,154,1275,754,482,127,0.0551575931232092,0.456661891117479,0.270057306590258,0.172636103151862,0.045487106017192,0.0142673180303743,0.683614307353798,0.784203241608529
"Banja Luka","Budžak 2",5395,369,3006,856,832,332,0.0683966635773865,0.557182576459685,0.158665430954588,0.15421686746988,0.0615384615384615,0.0275688326553973,0.632124929460481,0.746725218158117
"Banja Luka","Budžak 3",5393,344,3465,619,676,289,0.0637863897645096,0.642499536436121,0.114778416465789,0.125347672909327,0.0535879844242537,0.0275586125135417,0.551367846095348,0.718038916794209
"Banja Luka","Budžak 4",2206,201,896,684,319,106,0.0911151405258386,0.406165004533092,0.310063463281958,0.144605621033545,0.0480507706255666,0.0112728164666926,0.70736900680498,0.767701809036749
"Banja Luka","Bulevar Revolucije",3016,727,1270,213,654,152,0.24104774535809,0.421087533156499,0.0706233421750663,0.21684350132626,0.0503978779840849,0.015411973918198,0.710032567245249,0.762480412146786
