"","municipality","total","muslims","serbs","croats","yugoslavs","other","percent_muslims","percent_serbs","percent_croats","percent_yugoslavs","percent_other","fractionalization","polarization","percent_total_population"
"1","Banja Luka",195692,28558,106826,29026,23656,7626,0.145933405555669,0.545888436931505,0.148324918749872,0.12088383786767,0.0389694008952844,0.642577457581493,0.746216998868165,0.0447088244479765
"2","Banovići",26590,19162,4514,550,1928,436,0.7206468597217,0.169763068822866,0.0206844678450545,0.0725084618277548,0.016397141782625,0.445894413531796,0.698254917874855,0.00607489137047859
"3","Bihać",70732,46737,12689,5580,4356,1370,0.660761748572075,0.179395464570491,0.0788893287338121,0.0615845727534921,0.0193688853701295,0.520819839405729,0.736729265929793,0.0161598050551595
"4","Bijeljina",96988,30229,57389,492,4426,4452,0.311677733327834,0.591712376788881,0.00507279251041366,0.045634511485957,0.0459025858869138,0.548518164448955,0.855360834689532,0.0221583890274531
"5","Bileća",13284,1947,10628,39,222,448,0.146567299006323,0.80006022282445,0.00293586269196025,0.0167118337850045,0.0337247816922614,0.336996401137687,0.590785430522346,0.003034932567335
"6","Bosanska Krupa",58320,43104,13841,139,708,528,0.739094650205761,0.23732853223594,0.00238340192043896,0.0121399176954733,0.00905349794238683,0.397179241792598,0.742848853695935,0.0133240941980561
"7","Bosanski Brod",34138,4088,11389,13993,3664,1004,0.119749253031812,0.333616497744449,0.409895131524987,0.107329076102877,0.0294100415958756,0.693961648859397,0.788238833010579,0.00779934718335457
"8","Bosanski Petrovac",15621,3288,11694,48,366,225,0.210485884386403,0.748607643556751,0.00307278663337814,0.0234299980795084,0.0144036873439601,0.39451641544568,0.706450063546702,0.00356885588936615
"9","Bosansko Grahovo",8311,12,7888,226,135,50,0.0014438695704488,0.94910359764168,0.0271928769101191,0.016243532667549,0.00601612321020335,0.0981607775376331,0.187457311976368,0.0018987748093286
"10","Bratunac",33619,21535,11475,40,223,346,0.640560397394331,0.341324846069187,0.00118980338499063,0.00663315387132276,0.010291799280169,0.473028391251064,0.897487025482361,0.00768077371132454
"11","Brčko",87627,38617,18128,22252,5731,2899,0.440697501911511,0.206876875848768,0.253939995663437,0.0654022162118982,0.0330834103643854,0.693130186723694,0.78293887418295,0.0200197256908961
"12","Breza",17317,13079,2122,851,1001,264,0.755269388462205,0.122538545937518,0.0491424611653289,0.0578044695963504,0.0152451348385979,0.408563703280498,0.63380485888831,0.00395633297715599
"13","Bugojno",46889,19697,8673,16031,1561,927,0.420077203608522,0.184968755998209,0.341892554756979,0.0332913903047623,0.0197700953315277,0.670932009976824,0.834408343822115,0.0107125077649632
"14","Busovača",18879,8451,623,9093,510,202,0.447640235181948,0.0329996292176492,0.481646273637375,0.0270141426982361,0.0106997192647916,0.565701863510913,0.931234012404486,0.0043131957195662
"15","Čajniče",8956,4024,4709,5,77,141,0.449307726663689,0.525792764627066,0.000558284948637785,0.00859758820902188,0.0157436355515855,0.521342443160658,0.970353182808759,0.00204613490462603
"16","Čapljina",27882,7672,3753,14969,1047,441,0.275159601176386,0.134602969657844,0.536869665016857,0.0375511082418765,0.0158166559070368,0.616279944890155,0.822599538761154,0.0063700684916015
"17","Cazin",63409,61693,778,139,430,369,0.972937595609456,0.0122695516409343,0.00219211783816178,0.0067813717295652,0.0058193631818827,0.0531572357812274,0.103401237788514,0.0144867539266896
"18","Čelinac",18713,1446,16554,76,377,260,0.0772724843691551,0.884625661304975,0.00406134772617966,0.020146422273286,0.0138940843264041,0.210850984065118,0.385607080752194,0.00427527048573771
"19","Sarajevo Centar",79286,39761,16631,5428,13030,4436,0.501488282925107,0.209759604469894,0.0684610145549025,0.164341750119819,0.0559493479302777,0.669684959541307,0.760126732972464,0.0181140969236467
"20","Čitluk",15083,111,19,14823,17,113,0.00735927865809189,0.00125969634688059,0.982762049990055,0.00112709673141948,0.00749187827355301,0.0340656086949831,0.0670444010770331,0.00344594157731961
