"municipality","population","bosniak","croat","serb","not declared","other","no answer","total","percent_bosniaks","percent_serbs","percent_croats","percent_not_declared","percent_other","percent_no_answer","fractionalization","polarization","percent_total_population"
"Banja Luka",185042,7681,5104,165750,2733,3437,337,185042,0.0415094951416435,0.895742588169172,0.0275829271192486,0.0147696198700835,0.018574161541704,0.00182120815814788,0.194594901737373,0.346398412657701,0.0520495410413115
"Banovići",22773,21374,284,237,97,778,3,22773,0.938567601984807,0.0104070609932815,0.0124709085320335,0.00425943002678611,0.0341632635138102,0.000131734949282045,0.117641737354193,0.222089853563526,0.00640570355991497
"Berkovići",2114,159,11,1942,0,1,1,2114,0.0752128666035951,0.918637653736991,0.00520340586565752,0,0.000473036896877956,0.000473036896877956,0.150420362873451,0.29568067334413,0.00059463651366356
"Bihać",56261,49550,3265,910,619,1879,38,56261,0.880716659853184,0.016174614742006,0.0580330957501644,0.0110022928849469,0.0333979132969553,0.000675423472743108,0.219471779434466,0.388606629966189,0.0158253760147708
"Bijeljina",107715,13090,515,91784,674,1550,102,107715,0.121524393074316,0.852100450262266,0.00478113540361138,0.00625725293598849,0.0143898250011605,0.000946943322657012,0.258886668315489,0.482505269906739,0.0302986149807334
"Bileća",10807,26,21,10646,30,73,11,10807,0.00240584806144166,0.985102248542611,0.00194318497270288,0.00277597853243268,0.00675488109558619,0.00101785879522532,0.0295096253316033,0.0580830182923965,0.00303984711597072
"Bosanska Krupa",25545,23578,66,1260,106,494,41,25545,0.922998629868859,0.0493247210804463,0.00258367586611861,0.00414954002740262,0.0193384223918575,0.00160501076531611,0.145240156446963,0.273222199604562,0.00718542561094401
"Bosanski Petrovac",7328,3179,26,3996,30,85,12,7328,0.433815502183406,0.545305676855895,0.00354803493449782,0.0040938864628821,0.0115993449781659,0.00163755458515284,0.514279254006884,0.967702457548154,0.0020612565620277
"Bosansko Grahovo",2449,6,393,2028,10,10,2,2449,0.00244997958350347,0.828093099224173,0.160473662719477,0.00408329930583912,0.00408329930583912,0.000816659861167824,0.288470006590968,0.55816920541482,0.000688866992413462
"Bratunac",20340,7803,33,12350,26,86,42,20340,0.383628318584071,0.607177974434612,0.00162241887905605,0.00127826941986234,0.00422812192723697,0.00206489675516224,0.484137813512471,0.942231713661129,0.00572133712768061
