"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Banja Luka","Banja Luka","Repuplika Srpska",0,0,1210.56402102915,194.826925205644,185042,7681,5104,165750,2733,3437,337,0.0415094951416435,0.0275829271192486,0.895742588169172,0.0147696198700835,0.018574161541704,0.00182120815814788,0.194594901737373,0.346398412657701,0.0520495410413115,0.556312923220236,0.197243022464261,0.00819569345419369,0.238248360861309,0,90672,20972,111644,0.812152914621475,0.187847085378525,18.9792008520793,134.145251768569,173.952264079782,134.145251768569,18.9792008520793,1.98803435715359,0,0
"Banovići","Tuzla","Federacija Bosna i Hercegovina",0,0,188.138403583093,79.5888680964085,22773,21374,284,237,97,778,3,0.938567601984807,0.0124709085320335,0.0104070609932815,0.00425943002678611,0.0341632635138102,0.000131734949282045,0.117641737354193,0.222089853563526,0.00640570355991497,0.618226385362864,0.334763197058566,0.0368554670401821,0.0101549505383875,0,10963,460,11423,0.95973036855467,0.0402696314453296,53.7002868947751,42.0439618235911,88.5783914075828,42.0439618235911,42.0439618235911,12.2621563235519,0,0
"Berkovići","Trebinje","Repuplika Srpska",0,1,302.361128808216,106.138478296717,2114,159,11,1942,0,1,1,0.0752128666035951,0.00520340586565752,0.918637653736991,0,0.000473036896877956,0.000473036896877956,0.150420362873451,0.29568067334413,0.00059463651366356,0.88957475994513,0.11042524005487,0,0,0,1413,45,1458,0.969135802469136,0.0308641975308642,9.5503613032688,86.961610972809,24.1293123831647,24.1293123831647,9.5503613032688,0,0,0
"Bihać","Una-Sana","Federacija Bosna i Hercegovina",0,0,969.90566692209,271.648000203161,56261,49550,3265,910,619,1879,38,0.880716659853184,0.0580330957501644,0.016174614742006,0.0110022928849469,0.0333979132969553,0.000675423472743108,0.219471779434466,0.388606629966189,0.0158253760147708,0.791203131437989,0.161104243922538,0.00545941491553358,0.042233209723939,0,25438,3686,29124,0.873437714599643,0.126562285400357,0,218.255075034853,224.866968694304,218.255075034853,0,11.5755445137506,0,0
"Bijeljina","Bijeljina","Repuplika Srpska",0,0,754.464028269975,148.048817083066,107715,13090,515,91784,674,1550,102,0.121524393074316,0.00478113540361138,0.852100450262266,0.00625725293598849,0.0143898250011605,0.000946943322657012,0.258886668315489,0.482505269906739,0.0302986149807334,0.681345868381989,0.246689175422767,0.00726198445731583,0.0647029717379282,0,53969,14745,68714,0.785414908170096,0.214585091829904,1.23756852000335,0,112.332698891387,0,0,0,0,0
"Bileća","Trebinje","Repuplika Srpska",0,0,637.207119421984,129.889553804151,10807,26,21,10646,30,73,11,0.00240584806144166,0.00194318497270288,0.985102248542611,0.00277597853243268,0.00675488109558619,0.00101785879522532,0.0295096253316033,0.0580830182923965,0.00303984711597072,0.886997872606683,0.113002127393317,0,0,0,7004,987,7991,0.876486046802653,0.123513953197347,17.9355061565572,71.4908265327766,0,0,0,13.4418454272068,0,0
"Bosanska Krupa","Una-Sana","Federacija Bosna i Hercegovina",0,1,573.302543520731,141.242115305226,25545,23578,66,1260,106,494,41,0.922998629868859,0.00258367586611861,0.0493247210804463,0.00414954002740262,0.0193384223918575,0.00160501076531611,0.145240156446963,0.273222199604562,0.00718542561094401,0.879549454417459,0.0432242168250616,0.0158394931362196,0.0613868356212601,0,11982,2223,14205,0.84350580781415,0.15649419218585,0,204.692144453984,248.270049832145,204.692144453984,0,0,0,0
"Bosanski Petrovac","Una-Sana","Federacija Bosna i Hercegovina",0,1,750.548572543971,136.466196568047,7328,3179,26,3996,30,85,12,0.433815502183406,0.00354803493449782,0.545305676855895,0.0040938864628821,0.0115993449781659,0.00163755458515284,0.514279254006884,0.967702457548154,0.0020612565620277,0.432349052446011,0.502864698104892,0.0647862494490965,0,0,1385,3153,4538,0.305200528867342,0.694799471132658,2.27626941883016,188.896154806122,213.526429856279,188.896154806122,2.27626941883016,0,0,0
"Bosansko Grahovo","Canton 10","Federacija Bosna i Hercegovina",0,0,784.627095922759,144.062287481003,2449,6,393,2028,10,10,2,0.00244997958350347,0.160473662719477,0.828093099224173,0.00408329930583912,0.00408329930583912,0.000816659861167824,0.288470006590968,0.55816920541482,0.000688866992413462,0.0908363345338135,0.737094837935174,0.172068827531012,0,0,220,2279,2499,0.0880352140856343,0.911964785914366,0,194.873826012449,182.643517070103,182.643517070103,0,12.1670363160157,0,0
"Bratunac","Vlasenica","Repuplika Srpska",0,0,308.786198043625,132.844460046446,20340,7803,33,12350,26,86,42,0.383628318584071,0.00162241887905605,0.607177974434612,0.00127826941986234,0.00422812192723697,0.00206489675516224,0.484137813512471,0.942231713661129,0.00572133712768061,0.891948431038677,0.0581367063974702,0.00914619314035514,0.0407686694234979,0,11434,9121,20555,0.556263682802238,0.443736317197762,68.2085493515308,0,59.1639724546597,0,0,22.6396945112926,0,0
