"Municipality","Prewar Municipality","Municipality Area","Municipality Perimeter","Population, 1991","Muslim Population, 1991","Croat Population, 1991","Serb Population, 1991","Yugoslav Population, 1991","Other Population, 1991","Muslim Population Percentage, 1991","Croat Population Percentage, 1991","Serb Population Percentage, 1991","Yugoslav Population Percentage, 1991","Other Population Percentage, 1991","Ethnic Fractionalization, 1991","Ethnic Polarization, 1991","Percent of Population, 1991","Deaths per Population","Number of Deaths","Ethnic Dominance","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL"
"Banja Luka","Banja Luka",1229.40168841247,189.323785381336,195692,28558,29026,106826,23656,7626,0.145933405555669,0.148324918749872,0.545888436931505,0.12088383786767,0.0389694008952844,0.642577457581493,0.746216998868165,0.0447088244479765,0.0092697,1814.0061324,"No",19.8364314558824,134.734112799094,173.524688962587,134.734112799094,19.8364314558824,0.489210519000857
"Banovići","Banovići",189.484539258456,70.3604802378882,26590,19162,550,4514,1928,436,0.7206468597217,0.0206844678450545,0.169763068822866,0.0725084618277548,0.016397141782625,0.445894413531796,0.698254917874855,0.00607489137047859,0.0109816,292.000744,"Yes",50.4139760769212,41.2948617300077,89.5244225989171,41.2948617300077,41.2948617300077,12.102796968495
"Berkovići","Stolac",524.924563312052,118.449849359612,18681,8101,6188,3917,307,168,0.433649162250415,0.3312456506611,0.209678282747176,0.0164338097532252,0.00899309458808415,0.657908794888538,0.859894513453656,0.00426795959728885,0.0100637,187.9999797,"No",4.86509088680042,88.7735172536607,24.6416417131483,24.6416417131483,4.86509088680042,0
"Bihać","Bihać",729.425767613888,180.147191190892,70732,46737,5580,12689,4356,1370,0.660761748572075,0.0788893287338121,0.179395464570491,0.0615845727534921,0.0193688853701295,0.520819839405729,0.736729265929793,0.0161598050551595,0.0218713,1547.0007916,"No",0,223.654151343579,247.391952595174,223.654151343579,0,12.0557923660654
"Bijeljina","Bijeljina",734.021844185727,135.788429164021,96988,30229,492,57389,4426,4452,0.311677733327834,0.00507279251041366,0.591712376788881,0.045634511485957,0.0459025858869138,0.548518164448955,0.855360834689532,0.0221583890274531,0.010723,1040.002324,"No",0.480586128179609,0,113.967565325879,0,0,0
"Bileća","Bileća",667.126757887924,132.80750594982,13284,1947,39,10628,222,448,0.146567299006323,0.00293586269196025,0.80006022282445,0.0167118337850045,0.0337247816922614,0.336996401137687,0.590785430522346,0.003034932567335,0.0076784,101.9998656,"No",14.9209869581118,71.0829731124346,0,0,0,14.3138922654157
"Bosanska Krupa","Bosanska Krupa",840.024431633415,153.765688759556,58320,43104,139,13841,708,528,0.739094650205761,0.00238340192043896,0.23732853223594,0.0121399176954733,0.00905349794238683,0.397179241792598,0.742848853695935,0.0133240941980561,0.022548,1314.99936,"No",0,205.780654658643,249.009920869855,205.780654658643,0,0
"Bosanski Petrovac","Bosanski Petrovac",838.882395200677,137.372093904873,15621,3288,48,11694,366,225,0.210485884386403,0.00307278663337814,0.748607643556751,0.0234299980795084,0.0144036873439601,0.39451641544568,0.706450063546702,0.00356885588936615,0.0239421,373.9995441,"No",2.94492251033371,188.179212256151,209.802832849761,188.179212256151,2.94492251033371,0
"Bosansko Grahovo","Bosansko Grahovo",771.215071192192,129.650117454535,8311,12,226,7888,135,50,0.0014438695704488,0.0271928769101191,0.94910359764168,0.016243532667549,0.00601612321020335,0.0981607775376331,0.187457311976368,0.0018987748093286,0.0212971,177.0001981,"Yes",0,194.661520700844,182.190510121757,182.190510121757,0,12.0541946790134
"Bratunac","Bratunac",257.129545162228,120.237764646031,33619,21535,40,11475,223,346,0.640560397394331,0.00118980338499063,0.341324846069187,0.00663315387132276,0.010291799280169,0.473028391251064,0.897487025482361,0.00768077371132454,0.1072013,3604.0005047,"No",66.9986093475407,0,61.7122312277863,0,0,22.3136396855869
