"","municipality","deaths_per_population","deaths_count","fractionalization_cm","polarization_cm","ethnic_dominance_cm"
"1","Banja Luka",0.0092697,1814.0061324,0.6425757,0.7461945,"No"
"2","Banovići",0.0109816,292.000744,0.4459499,0.6983126,"Yes"
"3","Bihać",0.0218713,1547.0007916,0.5207667,0.7367383,"No"
"4","Bijeljina",0.010723,1040.002324,0.5485221,0.8553723,"No"
"5","Bileća",0.0076784,101.9998656,0.3355443,0.5893707,"No"
"6","Bosanska Dubica",0.0087642,277.0013052,0.4809341,0.7416134,"No"
"7","Bosanska Gradiška",0.009971,598.000754,0.5677635,0.8063387,"No"
"8","Bosanska Krupa",0.022548,1314.99936,0.3971849,0.7428104,"No"
"9","Bosanski Brod",0.0188646,643.9997148,0.6939814,0.7881836,"No"
"10","Bosanski Novi",0.0160806,669.998199,0.5218701,0.8847961,"No"
"11","Bosanski Petrovac",0.0239421,373.9995441,0.3945233,0.7064668,"No"
"12","Bosanski Šamac",0.0188714,622.001344,0.6215349,0.8721673,"No"
"13","Bosansko Grahovo",0.0212971,177.0001981,0.0981677,0.1874684,"Yes"
"14","Bratunac",0.1072013,3604.0005047,0.4729949,0.8974609,"No"
"15","Breza",0.0152451,263.9993967,0.4085299,0.6337386,"Yes"
"16","Brčko",0.0189211,1657.9992297,0.6931379,0.7829211,"No"
"17","Bugojno",0.0170189,797.9992021,0.6708984,0.8344715,"No"
"18","Busovača",0.0192807,364.0003353,0.5657811,0.9311428,"No"
"19","Cazin",0.0144617,917.0019353,0.0532296,0.1035388,"Yes"
"20","Derventa",0.0167289,944.9988321,0.6644068,0.8309945,"No"
"21","Doboj",0.0225843,2315.9973807,0.6676092,0.8272614,"No"
"22","Donji Vakuf",0.0114896,282.0007424,0.5447621,0.9194849,"No"
"23","Drvar",0.0082915,142.000229,0.058963,0.1156685,"Yes"
"24","Fojnica",0.0182867,298.0000632,0.5872285,0.9038076,"No"
"25","Foča",0.069237,2804.998581,0.5316551,0.9630551,"No"
"26","Gacko",0.0337412,364.0000656,0.4906611,0.9130561,"No"
"27","Glamoč",0.013579,171.000347,0.3431262,0.6308056,"Yes"
"28","Goražde",0.0435685,1636.9992505,0.4408256,0.7932961,"No"
"29","Gornji Vakuf",0.0217624,547.9989944,0.5071923,0.9668983,"No"
"30","Gradačac",0.0158887,898.9985347,0.578124,0.7849702,"No"
"31","Gračanica",0.0082017,484.9993278,0.4272768,0.7470726,"No"
"32","Grude",0.0020785,34.000103,0.0178561,0.0356045,"Yes"
"33","Hadžići",0.0262397,635.00074,0.5229676,0.8059443,"No"
"34","Han Pijesak",0.0241021,153.0001308,0.504317,0.9499565,"No"
"35","Ilidža",0.0243461,1654.0009957,0.6611261,0.8273887,"No"
"36","Ilijaš",0.0210451,529.9997984,0.6140079,0.8814912,"No"
"37","Jablanica",0.0218265,277.0001115,0.449368,0.7039435,"Yes"
"38","Jajce",0.0155309,698.9992163,0.6870911,0.8185805,"No"
"39","Kakanj",0.0085255,477.001725,0.6043078,0.8263056,"No"
"40","Kalesija",0.0157861,660.0010549,0.3378966,0.6321071,"Yes"
"41","Kalinovik",0.057853,269.999951,0.4978786,0.9216366,"No"
"42","Kiseljak",0.0177537,429.0004068,0.5644699,0.9162925,"No"
"43","Kladanj",0.0126945,204.000615,0.4113383,0.7752364,"No"
"44","Ključ",0.0324677,1213.9997707,0.5306872,0.9682753,"No"
"45","Konjic",0.0224942,987.0005076,0.6126198,0.823676,"No"
"46","Kotor Varoš",0.0284644,1048.9985332,0.6793159,0.8540463,"No"
"47","Kreševo",0.0163423,110.0000213,0.4555183,0.7567498,"No"
"48","Kupres",0.0296319,284.9996142,0.5800737,0.9109359,"No"
"49","Laktaši",0.0078439,233.9992248,0.3315534,0.5415537,"No"
"50","Livno",0.0023645,95.9987,0.4477403,0.6863961,"Yes"
"51","Ljubinje",0.0064717,26.9999324,0.186368,0.3520291,"Yes"
"52","Ljubuški",0.0017996,51.000664,0.1467381,0.2782394,"Yes"
"53","Lopare",0.016535,537.999295,0.545199,0.8742959,"No"
"54","Lukavac",0.0104608,596.997856,0.5037568,0.7565226,"No"
"55","Maglaj",0.0195907,850.0012916,0.6638767,0.8331981,"No"
"56","Modriča",0.0177463,631.9989819,0.7118819,0.7950178,"No"
"57","Mostar",0.0199956,2532.0028368,0.7183167,0.7726745,"No"
"58","Mrkonjić Grad",0.01785,489.00075,0.3882802,0.6219276,"Yes"
"59","Neum",0.0016185,7.0000125,0.2264551,0.3971016,"Yes"
"60","Nevesinje",0.0446429,645.0006192,0.3975724,0.7320163,"No"
"61","Novi Travnik",0.0154983,475.9992879,0.6954947,0.7888246,"No"
"62","Odžak",0.0092494,277.9999664,0.6241801,0.7982531,"No"
"63","Olovo",0.0165723,280.9999188,0.4019077,0.6853386,"Yes"
"64","Orašje",0.0127966,363.0011522,0.4083563,0.656415,"Yes"
"65","Pale",0.028982,474.00061,0.4520822,0.8021762,"No"
"66","Posušje",0.0011089,18.9998926,0.0198396,0.0394439,"Yes"
"67","Prijedor",0.0462845,5208.9964835,0.6218809,0.871368,"No"
"68","Prnjavor",0.0114972,541.000746,0.4632707,0.6871743,"Yes"
"69","Prozor",0.0234818,464.000368,0.4813656,0.9239082,"No"
"70","Rogatica",0.0916371,2014.0001838,0.4928939,0.9374712,"No"
"71","Rudo",0.0217786,252.0001806,0.4304631,0.8015195,"No"
"72","Sanski Most",0.0255692,1542.0017444,0.5994838,0.8968136,"No"
"73","Sarajevo Centar",0.0195621,1551.0006606,0.6696702,0.7601424,"No"
"74","Sarajevo Novi Grad",0.0230646,3150.9933936,0.6473575,0.7949547,"No"
"75","Sarajevo Novo Sarajevo",0.0202337,1924.0022993,0.7172836,0.7643666,"No"
"76","Sarajevo Stari Grad",0.0227022,1152.0004368,0.3805729,0.5986661,"Yes"
"77","Sarajevo Vogošća",0.0288473,710.9994031,0.607685,0.8629865,"No"
"78","Skender Vakuf",0.0086003,167.0006254,0.4700127,0.7855666,"No"
"79","Sokolac",0.0272794,405.9993102,0.4395599,0.8460172,"No"
"80","Srbac",0.0058608,127.999872,0.2084014,0.3696212,"Yes"
"81","Srebrenica",0.2103038,7710.9991308,0.3828526,0.7208807,"Yes"
"82","Srebrenik",0.0073112,298.9988352,0.4051771,0.6374473,"Yes"
"83","Stolac",0.0100637,187.9999797,0.6579717,0.8598023,"No"
"84","Teslić",0.0123133,737.0002582,0.6219725,0.7880088,"No"
"85","Tešanj",0.0155941,756.001968,0.4420844,0.7082532,"Yes"
"86","Tomislavgrad",0.0027658,82.9988922,0.2393061,0.443879,"Yes"
"87","Travnik",0.0182057,1287.9986579,0.6462499,0.8440019,"No"
"88","Trebinje",0.0111305,345.000978,0.4873706,0.7190341,"No"
"89","Trnovo",0.0503504,351.9996464,0.4436,0.8366224,"No"
"90","Tuzla",0.0087982,1158.0014876,0.6953806,0.7382004,"No"
"91","Ugljevik",0.0220034,563.0009958,0.5195935,0.9422178,"No"
"92","Vareš",0.0159438,354.0001914,0.7068405,0.7730502,"No"
"93","Velika Kladuša",0.0203561,1077.0005388,0.1639198,0.2997699,"Yes"
"94","Visoko",0.0143847,663.997752,0.4162565,0.6662542,"Yes"
"95","Vitez",0.0358233,998.0013147,0.616006,0.8755959,"No"
"96","Višegrad",0.0830228,1760.0003372,0.4938309,0.8691922,"No"
"97","Vlasenica",0.0864416,2934.0007872,0.5163953,0.9599655,"No"
"98","Zavidovići",0.0156217,892.9988588,0.5805483,0.7780381,"No"
"99","Zenica",0.009827,1429.995559,0.634808,0.7526692,"No"
"100","Zvornik",0.0507657,4126.9975815,0.5054163,0.9308802,"No"
"101","Čajniče",0.0320456,287.0003936,0.5213431,0.9703456,"No"
"102","Čapljina",0.0085718,238.9989276,0.616226,0.8226741,"No"
"103","Čelinac",0.0129856,242.9995328,0.2108935,0.3856761,"Yes"
"104","Čitluk",0.0023205,35.0001015,0.0339917,0.0669001,"Yes"
"105","Šekovići",0.0196282,188.9999378,0.1190082,0.2247276,"Yes"
"106","Šipovo",0.0121959,189.9999261,0.3370149,0.6402063,"Yes"
"107","Široki Brijeg",0.0018757,50.944012,0.0216312,0.0428537,"Yes"
"108","Žepče",0.0144126,330.9997716,0.6105892,0.8866931,"No"
"109","Živinice",0.0067357,369.0018531,0.3430408,0.5499741,"Yes"
