"","municipality","party","municipality_code","vote_count","total_municipal_votes","percent_vote"
"1","Banja Luka","BOJAN SAVIĆ","034",49,111644,0.000438895059295618
"2","Banja Luka","BOSS - BOSANSKA STRANKA","034",106,111644,0.000949446454802766
"3","Banja Luka","BRANISLAV RISTIĆ","034",31,111644,0.000277668302819677
"4","Banja Luka","DEMOKRATSKA PATRIOTSKA STRANKA REPUBLIKE SRPSKE","034",11030,111644,0.0987961735516463
"5","Banja Luka","DEMOKRATSKA STRANKA FEDERALISTA","034",173,111644,0.00154956827057433
"6","Banja Luka","DEMOKRATSKI PREPOROD SRPSKE (DPS)","034",642,111644,0.00575042098097524
"7","Banja Luka","DYŠAN MILIĆEVIĆ","034",225,111644,0.00201533445594927
"8","Banja Luka","EKOLOŠKA STRANKA (EKOS)","034",223,111644,0.00199742037189638
"9","Banja Luka","HDZ BiH","034",5343,111644,0.0478574755472753
"10","Banja Luka","HRVATSKA NARODNA ZAJEDNICA","034",530,111644,0.00474723227401383
"11","Banja Luka","MALETIĆ ĐOKO","034",30,111644,0.000268711260793236
"12","Banja Luka","MILOSAVA JAKOVLJEVIĆ","034",72,111644,0.000644907025903766
"13","Banja Luka","MUHAMED FEKOVIĆ","034",193,111644,0.00172870911110315
"14","Banja Luka","NARODNA RADIKALNA STRANKA ""NIKOLA PAŠIĆ""","034",701,111644,0.00627888646053527
"15","Banja Luka","NEBOJŠA STEGIĆ","034",39,111644,0.000349324639031206
"16","Banja Luka","NOVA KOMUNISTIČKA PARTIJA ZA REPUBLIKU SRPSKU","034",287,111644,0.00257067106158862
"17","Banja Luka","NOVA RADNIČKA STRANKA RS","034",229,111644,0.00205116262405503
"18","Banja Luka","OTADŽBINSKA STRANKA","034",169,111644,0.00151374010246856
"19","Banja Luka","PARTIJA DRUŠTVENOG PROGRESA (PDP)","034",54,111644,0.000483680269427824
"20","Banja Luka","RADNIČKA PARTIJA REPUBLIKE SRPSKE (RPRS)","034",152,111644,0.00136147038801906
"21","Banja Luka","ROF ""NIKOLA PAŠIĆ""","034",286,111644,0.00256171401956218
"22","Banja Luka","SDA","034",9110,111644,0.0815986528608792
"23","Banja Luka","SDP BiH","034",645,111644,0.00577729210705457
"24","Banja Luka","SLAVKO PLAVŠIĆ","034",45,111644,0.000403066891189853
"25","Banja Luka","SNS RS","034",383,111644,0.00343054709612698
"26","Banja Luka","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","034",17682,111644,0.158378417111533
"27","Banja Luka","SOCIJALISTIČKA RADNIČKA PARTIJA JUGOSLAVIJE","034",1407,111644,0.0126025581312028
"28","Banja Luka","SOCIJALNO - LIBERALNA STRANKA RS (SLS)","034",920,111644,0.00824047866432589
"29","Banja Luka","SPD RS","034",286,111644,0.00256171401956218
"30","Banja Luka","SRP BiH","034",121,111644,0.00108380208519938
"31","Banja Luka","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","034",9899,111644,0.0886657590197413
"32","Banja Luka","SRPSKA PATRIOTSKA STRANKA - SPAS","034",6496,111644,0.058184945003762
"33","Banja Luka","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","034",5066,111644,0.0453763749059511
"34","Banja Luka","SRPSKA SELJAČKA STRANKA","034",865,111644,0.00774784135287163
"35","Banja Luka","SRPSKA STRANKA KRAJINE I POSAVINE","034",17112,111644,0.153272903156462
"36","Banja Luka","SRPSKI DEMOKRATSKI SAVEZ RS","034",564,111644,0.00505177170291283
"37","Banja Luka","SRPSKI OTADŽBINSKI FRONT (SOF)","034",278,111644,0.00249005768335065
"38","Banja Luka","STRANKA BANJALUČKOG CENTRA","034",469,111644,0.00420085271040092
