"canton","minefields_per_sq_km"
"Banja Luka",0.18919811776851
"Bijeljina",0.18919811776851
"Bosnian Podrinje",0.542378114310069
"Brčko",0.69022084942085
"Canton 10",0.153049797063967
"Central Bosnia",0.578581371099638
"Doboj",0.18919811776851
"Foča",0.18919811776851
"Herzegovina-Neretva",0.262280311761986
"Istočno Sarajevo",0.18919811776851
"Posavina",1.17645448443306
"Sarajevo",1.17117619281542
"Trebinje",0.18919811776851
"Tuzla",1.24136771441429
"Una-Sana",0.338078981288248
"Vlasenica",0.18919811776851
"West Herzegovina",0
"Zenica-Doboj",0.69684607517988
