"canton","minefield_area","minefield_perc"
"Banja Luka",677.95327939162,0.0684016435591077
"Bijeljina",105.65538526741,0.0856372434763037
"Bosnian Podrinje",99.3779990313427,0.219107527311087
"Brčko",129.524855679593,0.266707316021039
"Canton 10",502.694791260437,0.102446519024665
"Central Bosnia",816.952273056947,0.251555809615888
"Doboj",466.709162995775,0.186854283824308
"Foča",243.054982316309,0.0791818671724786
"Herzegovina-Neretva",563.702411366121,0.135516080837846
"Istočno Sarajevo",222.129086410662,0.0896375233547737
"Posavina",100.675761407733,0.305258894283096
"Sarajevo",308.056878706853,0.252299917744403
"Trebinje",198.732506433579,0.0508696988504599
"Tuzla",477.182739379462,0.1885893812612
"Una-Sana",677.209716123279,0.161574009135823
"Vlasenica",244.714785346078,0.119620065429845
"West Herzegovina",6.46358854807289,0.00485272772661015
"Zenica-Doboj",572.324348334729,0.17124172428808
