"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Brčko",0,4.96058173139692,132.682631530246,4.96058173139675,0,0
"Foča-Ustikolina",95.1425739107974,26.5924110755267,10.7698858995068,10.7698858995062,10.7698858995062,0
"Goražde",106.96561352557,18.7696948294991,8.03679237153079,8.03679237152896,8.03679237152896,0
"Pale-Prača",106.049653173198,28.4301075786204,18.8753217310791,18.8753217310776,18.8753217310776,0
"Bosansko Grahovo",0,195.100828610492,183.783001805649,183.783001805649,0,12.7024681501634
"Drvar",0,193.286703416367,199.763341829089,193.286703416367,0,0
"Glamoč",12.7577943442842,164.445763749751,148.332839267361,148.332839267361,12.7577943442842,0
"Kupres-FBIH",23.7558537744722,142.977571504306,120.579567456235,120.579567456234,23.7558537744722,0
"Livno",0,165.696617556696,137.250174773448,137.250174773447,0,19.2027900694713
"Tomislavgrad",0,133.729929695995,104.089870718364,104.089870718364,0,19.6239980087892
"Bugojno",44.1508699679821,124.109180457537,121.067316369058,121.067316369057,44.1508699679821,6.85261645720131
"Busovača",74.2208915261017,94.0179090209688,95.4046786599877,94.0179090209688,74.2208915261017,27.9695796273889
"Dobretići",73.0800975627398,127.525720244277,146.878867396611,127.525720244277,73.0800975627398,0
"Donji Vakuf",46.5974081888515,129.667927821306,134.061897738322,129.667927821306,46.5974081888515,0
"Fojnica",62.291744929551,97.402947347996,85.4318680456415,85.4318680456414,62.291744929551,28.3575109102468
"Gornji Vakuf-Uskoplje",45.455239863486,112.549511897376,98.0978062654046,98.0978062654044,45.455239863486,21.4322894775083
"Jajce",57.3947800445368,133.188951523053,144.609164779831,133.188951523053,57.3947800445368,0
"Kiseljak",73.0902532879302,85.8424281781892,72.6392652114179,72.6392652114177,72.6392652114177,14.5596699071258
"Kreševo",62.3546677165209,91.5095033343992,76.6641384930208,76.6641384930206,62.3546677165209,20.0437321086707
"Novi Travnik",63.0211861411086,111.184211522211,107.226985020793,107.226985020792,63.0211861411086,17.5443756877808
"Travnik",69.270100846559,102.836476589613,118.907420732388,102.836476589613,69.270100846559,0
"Vitez",72.173870495937,100.929227019976,109.021355579893,100.929227019976,72.173870495937,20.1689725129767
"Čapljina",0,111.502110733663,53.7435950958137,53.7435950958137,0,4.7276833935199
"Čitluk",7.27942625130027,116.156992431997,62.4388412780452,62.4388412780452,7.27942625130027,11.2661824911276
"Jablanica",26.7225483504869,106.682601550038,76.2337482726422,76.2337482726421,26.7225483504869,14.9838009352033
"Konjic",45.1933344133728,66.4840965422148,37.0889285622995,37.0889285622993,37.0889285622993,0
"Mostar",13.9806774568432,94.1995465305529,49.3045973258747,49.3045973258747,13.9806774568432,0
"Neum",0,114.471265055039,43.4892271717876,43.4892271717876,0,0
"Prozor-Rama",28.1693965405005,116.236503134005,90.8088871871482,90.8088871871481,28.1693965405005,25.7428418101756
"Ravno",0,114.421698049972,10.8868858869601,10.8868858869601,0,0
"Stolac",4.79482265229642,102.597403835777,41.1779612949243,41.1779612949243,4.79482265229642,0
"Domaljevac-Šamac",0,35.3122291397486,166.805647236108,35.3122291397486,0,0
"Odžak",0,47.8328891915046,168.944606091173,47.8328891915046,0,0
"Orašje",0,18.8411676452746,157.377719382397,18.8411676452746,0,0
