"municipality","Independent","Nationalist","Non-Nationalist","Other","Invalid Ballot"
"Banja Luka",0.00819569345419369,0.556312923220236,0.197243022464261,0.238248360861309,0
"Banovići",0.0368554670401821,0.618226385362864,0.334763197058566,0.0101549505383875,0
"Berkovići",0,0.88957475994513,0.11042524005487,0,0
"Bihać",0.00545941491553358,0.791203131437989,0.161104243922538,0.042233209723939,0
"Bijeljina",0.00726198445731583,0.681345868381989,0.246689175422767,0.0647029717379282,0
"Bileća",0,0.886997872606683,0.113002127393317,0,0
"Bosanska Gradiška",0,0.763075886465089,0.197478873634858,0.0394452399000533,0
"Bosanska Krupa",0.0158394931362196,0.879549454417459,0.0432242168250616,0.0613868356212601,0
"Bosanski Brod",0,0.889743741492573,0.0872344203112979,0.0230218381961295,0
"Bosanski Petrovac",0.0647862494490965,0.432349052446011,0.502864698104892,0,0
"Bosansko Grahovo",0.172068827531012,0.0908363345338135,0.737094837935174,0,0
"Bratunac",0.00914619314035514,0.891948431038677,0.0581367063974702,0.0407686694234979,0
"Breza",0.0757306827594368,0.672228138681813,0.237131700390486,0.0149094781682641,0
"Brčko",0.0016143397906925,0.736305945223781,0.239478957915832,0.0226007570696949,0
"Bugojno",0,0.954690132933908,0.040769518816701,0.0045403482493915,0
"Busovača",0,0.93135838150289,0.0603323699421965,0.00830924855491329,0
"Bužim",0.0858895705521472,0.885263020493408,0,0.0288474089544446,0
"Cazin",0.0389402684097073,0.84708991029831,0.0463458730269105,0.067623948265072,0
"Centar Sarajevo",0.0106648446319292,0.615293208959658,0.349563305804765,0.024478640603648,0
"Derventa",0.00674890330321323,0.826140752127779,0.126316973491808,0.0407933710772,0
"Doboj",0.00698197381306445,0.800061658989518,0.158300388088934,0.0346559791084836,0
"Donji Vakuf",0,0.855356705074773,0.144643294925227,0,0
"Donji Žabar",0,0.853064066852368,0.129526462395543,0.0174094707520891,0
"Drvar",0.0226378998830907,0.358380274205548,0.618981825911361,0,0
"Dubica",0.00180281690140845,0.660281690140845,0.246704225352113,0.0912112676056338,0
"East New Sarajevo",0,0.88043252235392,0.0802661676024121,0.0393013100436681,0
"Fojnica",0.00630252100840336,0.906945130993574,0.0736529906080079,0.0130993573900148,0
"Foča",0,0.984464031339031,0.00681089743589744,0.00872507122507122,0
"Gacko",0.0775516497070614,0.785692260252852,0.0658341042244835,0.0709219858156028,0
"Glamoč",0,0.632558139534884,0.367441860465116,0,0
"Goražde",0,0.847641985859685,0.130448294615803,0.0219097195245125,0
"Gornji Vakuf-Uskoplje",0,0.973005803752193,0.0269941962478067,0,0
"Gradačac",0,0.851952251866648,0.148047748133352,0,0
"Gračanica",0.0127071134919646,0.660188530376645,0.257921182675138,0.0443503176778373,0.0248328557784145
"Grude",0,1,0,0,0
"Hadžići",0,0.799445755927332,0.181258339320538,0.0192959047521297,0
"Han Pijesak",0,0.887719298245614,0.112280701754386,0,0
"Ilidža",0.0499458232289356,0.737526443423972,0.194675197358237,0.0178525359888551,0
"Ilijaš",0,0.581398947694212,0.402197462086041,0.0164035902197462,0
"Istočna Ilidža",0,0.908853350057489,0.0492317340859204,0.0419149158565904,0
"Istočni Drvar",0,0.76510067114094,0.201342281879195,0.0335570469798658,0
"Istočni Mostar",0,1,0,0,0
"Istočni Stari Grad",0,1,0,0,0
"Jablanica",0.0392253405547349,0.762514360741835,0.19826029870343,0,0
"Jajce",0,0.949538740737007,0.0480919493875082,0.0023693098754852,0
"Jezero",0,0.758083832335329,0.219161676646707,0.0227544910179641,0
"Kakanj",0.0285739483199577,0.764088543963312,0.202178322603404,0.00515918511332569,0
"Kalesija",0.124882754924293,0.690004019831167,0.18511322524454,0,0
"Kalinovik",0,0.869653081845739,0.130346918154261,0,0
"Kiseljak",0.00426359488368614,0.977560026927968,0.0181763781883462,0,0
"Kladanj",0,0.641378220325589,0.332543069385175,0,0.0260787102892366
"Ključ",0,0.916294227188082,0.0501862197392924,0.0335195530726257,0
"Konjic",0,0.867316752492604,0.10408677550126,0.0285964720061356,0
"Kotor Varoš",0.00240638572602418,0.866592323042611,0.0932034276323512,0.037797863599014,0
"Kreševo",0,0.966555183946488,0.0334448160535117,0,0
"Krupa na Uni",0,1,0,0,0
"Kupres-FBIH",0,1,0,0,0
"Kupres-RS",0,1,0,0,0
"Laktaši",0.00618314474741854,0.501205713225747,0.395721263834786,0.0968898781920485,0
"Livno",0.0625639059304703,0.905547034764826,0.0318890593047035,0,0
"Ljubinje",0,0.817417876241406,0.118411000763942,0.0641711229946524,0
"Ljubuški",0.0409453413732737,0.959054658626726,0,0,0
"Lopare",0,0.730727789205603,0.239690469193849,0.0295817416005485,0
"Lukavac",0.102722880983751,0.462582345191041,0.410715854194115,0.0119016249451032,0.0120772946859903
"Maglaj",0,0.8300395256917,0.151314658876096,0.0186458154322048,0
"Modriča",0.00313778990450205,0.843474306502956,0.115825375170532,0.03756252842201,0
"Mostar",0.00179657971898781,0.945458551549974,0.0439145099235606,0.00883035880747784,0
"Mrkonjić Grad",0,0.488780990215552,0.480467887883469,0.0307511219009784,0
"Neum",0,0.988089330024814,0.0119106699751861,0,0
"Nevesinje",0.0161616161616162,0.913219148001757,0.00395256916996047,0.0666666666666667,0
"Novi Grad",0.00353234785947399,0.70923401804569,0.264196582837397,0.023037051257439,0
"Novi Grad Sarajevo",0.0179937022042285,0.706600417126733,0.251625567415041,0.0237803132539975,0
"Novi Travnik",0,1,0,0,0
"Novo Goražde",0.0109998035749362,0.964054213317619,0.0249459831074445,0,0
"Novo Sarajevo",0.0110655611379959,0.632093209629196,0.327096754307555,0.0297444749252535,0
