"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Banja Luka",18.9792008520793,134.145251768569,173.952264079782,134.145251768569,18.9792008520793,1.98803435715359
"Banovići",53.7002868947751,42.0439618235911,88.5783914075828,42.0439618235911,42.0439618235911,12.2621563235519
"Berkovići",9.5503613032688,86.961610972809,24.1293123831647,24.1293123831647,9.5503613032688,0
"Bihać",0,218.255075034853,224.866968694304,218.255075034853,0,11.5755445137506
"Bijeljina",1.23756852000335,0,112.332698891387,0,0,0
"Bileća",17.9355061565572,71.4908265327766,0,0,0,13.4418454272068
"Bosanska Krupa",0,204.692144453984,248.270049832145,204.692144453984,0,0
"Bosanski Petrovac",2.27626941883016,188.896154806122,213.526429856279,188.896154806122,2.27626941883016,0
"Bosansko Grahovo",0,194.873826012449,182.643517070103,182.643517070103,0,12.1670363160157
"Bratunac",68.2085493515308,0,59.1639724546597,0,0,22.6396945112926
"Breza",92.9718921997329,67.1779120482452,69.3180153296177,67.1779120482451,67.1779120482451,12.1045699137134
"Brod",0,60.7268091779744,172.737177945832,60.7268091779744,0,0
"Brčko",0,2.91026301333352,130.747738853936,2.91026301333362,0,0
"Bugojno",43.7036597672597,123.141109835008,119.707095025594,119.707095025594,43.7036597672597,7.73025934251978
"Busovača",73.7687593661557,92.9182911945665,94.0956646833351,92.9182911945665,73.7687593661557,27.2843892582502
"Bužim",0,219.194523431757,278.169473872791,219.194523431757,0,6.89977387651711
"Cazin",0,229.72856731459,275.151249759174,229.72856731459,0,9.66277651879245
"Derventa",0,68.8402189161991,160.036488736627,68.8402189161991,0,8.20376567314412
"Doboj",11.3523049641314,53.9517394307396,139.197920420852,53.9517394307396,11.3523049641314,0
"Doboj Istok",35.8495057537263,61.1698122230548,140.585144650166,61.1698122230548,35.8495057537263,0
"Doboj Jug",41.9068805767502,75.9127218170219,141.253412130533,75.9127218170219,41.9068805767502,0
"Dobretići",73.1655206174075,127.401149800812,146.881467255776,127.401149800812,73.1655206174075,0
"Domaljevac-Šamac",0,33.2042469111171,165.000167429425,33.2042469111171,0,0
"Donji Vakuf",46.5447460130648,129.30184029557,133.293650891599,129.30184029557,46.5447460130648,0
"Donji Žabar",0.133985274158455,19.8911088495766,152.255785042749,19.8911088495766,0.133985274158455,0
"Drvar",7.72087280374831,191.775430048087,198.730426292627,191.775430048087,7.72087280374831,0
"Dubica",0,152.300575994107,231.255981698186,152.300575994107,0,23.658377175496
"Fojnica",61.7904286989121,97.0450972876547,84.4671421783589,84.4671421783587,61.7904286989121,28.0525645217632
"Foča",72.8398098035985,13.4566004815679,0,0,0,0
"Foča-Ustikolina",92.8620909506663,25.021682773032,7.58893016678311,7.58893016678192,7.58893016678192,0
"Gacko",44.2197028096168,46.3437864669483,0,0,0,17.2892499952095
"Glamoč",12.3159332804618,164.803634838176,148.876487734021,148.876487734021,12.3159332804618,0
"Goražde",105.610549085023,19.5571625957552,7.26388075772993,7.26388075772887,7.26388075772887,0
"Gornji Vakuf-Uskoplje",44.2164406644412,111.30019524338,96.4421893701516,96.4421893701514,44.2164406644412,21.8320042005541
"Gradačac",15.3263528710537,33.7236657217011,139.393502736895,33.7236657217011,15.3263528710537,0
