"municipality","canton","entity","voters","KZCiD","HDZ","SDP","ZL.97","ZAVICAJ","DNZ","SDA","Independent.Candidates","SDC.Cazin","BOSS","HSS","BPS","SZS","HSP","HNZ","HKDP","ZAD","NS","SDS","SRS","SPRS","SSS","DSZBLiK","DS","SPO","NRS.Z","SDR","NDP","SOS","SPAS","SSKiP","SNS","SD","DPSRS","NRS","ZAB","SSJ","SPD","StrZA","SRS*","SOF","UL","OS","DPS"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banja Luka","Republika Srpska West","Republika Srpska",116139,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,0,0,0,0,0,5,12,0,0,8,0,8,1,0,3,0,0,0,0,0
"Banovići","Tuzla-Podrinje","Federation",12968,13,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkovići","Republika Srpska East","Republika Srpska",1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bihać","Una Sana","Federation",30310,24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bijeljina","Republika Srpska East","Republika Srpska",71564,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bileća","Republika Srpska East","Republika Srpska",8125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosanska Krupa","Una Sana","Federation",14960,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosanski Petrovac","Una Sana","Federation",4780,11,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosansko Grahovo","Tomislavgrad","Federation",2782,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bratunac","Republika Srpska East","Republika Srpska",21315,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breza","Zenica-Doboj","Federation",9000,22,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brod","Republika Srpska West","Republika Srpska",17290,5,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brčko","Republika Srpska West","Republika Srpska",36546,16,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Bugojno","Centralna Bosna","Federation",22049,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busovača","Centralna Bosna","Federation",11215,12,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bužim","Una Sana","Federation",8331,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cazin","Una Sana","Federation",30835,22,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
