"id","relid","year","type_of_violence","conflict_dset_id","conflict_new_id","conflict_name","dyad_dset_id","dyad_new_id","dyad_name","side_a_dset_id","side_a_new_id","side_a","side_b_dset_id","side_b_new_id","side_b","where_prec","where_coordinates","where_description","latitude","longitude","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","best","high","low","geometry","event_length"
386010,"BOS-1992-1-835-1145",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Kalesija town","Kalesija",44.437222,18.908056,1,1,1992-04-27,1992-04-27,1,0,0,0,1,1,1,c(18.908056, 44.437222),1
199976,"BOS-1992-1-292-2000",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Foca town","Foca town",43.505,18.778611,1,1,1992-04-27,1992-04-27,4,2,13,0,19,19,19,c(18.778611, 43.505),1
200352,"BOS-1992-1-292-999",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-04-27,1992-04-27,0,0,0,0,0,2,0,c(18.383333, 43.85),1
368041,"BOS-1992-1-835-0",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zvornik town","Zvornik",44.386944,19.101389,1,1,1992-04-27,1992-04-27,5,0,0,0,5,5,5,c(19.101389, 44.386944),1
368266,"BOS-1992-1-835-4",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Vlasenica town","Vlasenica",44.181944,18.940556,1,1,1992-04-27,1992-04-27,1,0,0,0,1,1,1,c(18.940556, 44.181944),1
368404,"BOS-1992-1-835-5",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Visegrad town","Visegrad",43.7834,19.2935,1,1,1992-04-27,1992-04-27,1,0,1,0,2,2,2,c(19.2935, 43.7834),1
389703,"BOS-1992-1-835-1538",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Srebrenica town","Srebrenica",44.106389,19.296944,1,1,1992-04-27,1992-04-27,0,0,1,0,1,1,1,c(19.296944, 44.106389),1
368677,"BOS-1992-1-835-10",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Visoko town","Visoko",43.988889,18.178056,1,1,1992-04-27,1992-04-27,1,0,0,0,1,1,1,c(18.178056, 43.988889),1
368816,"BOS-1992-1-835-41",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bihac town","Bihac",44.816944,15.870833,1,1,1992-04-27,1992-04-27,2,0,0,0,2,2,2,c(15.870833, 44.816944),1
369116,"BOS-1992-1-835-53",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar",43.343333,17.808056,1,1,1992-04-27,1992-04-27,1,1,2,0,4,4,4,c(17.808056, 43.343333),1
369454,"BOS-1992-1-835-89",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Prijedor town","Prijedor",44.981389,16.713056,1,1,1992-04-27,1992-04-27,0,0,1,0,1,1,1,c(16.713056, 44.981389),1
369461,"BOS-1992-1-835-92",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Kljuc village","Kljuc",44.533982,16.774716,1,1,1992-04-27,1992-04-27,1,0,1,0,2,2,2,c(16.774716, 44.533982),1
369455,"BOS-1992-1-835-90",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Prijedor town","Prijedor",44.981389,16.713056,1,1,1992-04-28,1992-04-28,0,0,1,0,1,1,1,c(16.713056, 44.981389),1
369117,"BOS-1992-1-835-54",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar",43.343333,17.808056,1,1,1992-04-28,1992-04-28,2,0,2,0,4,4,4,c(17.808056, 43.343333),1
368494,"BOS-1992-1-835-7",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Foca town","Foca",43.505,18.778611,1,1,1992-04-28,1992-04-28,2,0,14,0,16,16,16,c(18.778611, 43.505),1
389704,"BOS-1992-1-835-1539",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Srebrenica town","Srebrenica",44.106389,19.296944,1,1,1992-04-28,1992-04-28,0,0,2,0,2,2,2,c(19.296944, 44.106389),1
368043,"BOS-1992-1-835-1",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zvornik town","Zvornik",44.386944,19.101389,1,1,1992-04-28,1992-04-28,2,0,6,0,8,8,8,c(19.101389, 44.386944),1
200308,"BOS-1992-1-292-4",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Novi Grad town","Novi Grad town, near Odzak, northern Bosnia",45.09,18.317778,1,1,1992-04-28,1992-04-28,0,0,0,0,0,20,0,c(18.317778, 45.09),1
200414,"BOS-1992-1-292-3",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-04-28,1992-04-28,1,0,0,0,1,1,1,c(18.383333, 43.85),1
200230,"BOS-1992-1-292-5",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar town",43.343333,17.808056,1,1,1992-04-29,1992-04-29,1,1,4,0,6,8,6,c(17.808056, 43.343333),1
