"municipality","count_of_events","best","high","low","deaths_per_100000","deaths_per_100000_high","deaths_per_100000_low"
"Banja Luka",3,10,10,10,5.11007092778448,5.11007092778448,5.11007092778448
"Banovići",14,18,18,18,67.6946220383603,67.6946220383603,67.6946220383603
"Bihać",446,2538,2774,2531,3588.19204886049,3921.8458406379,3578.29553808743
"Bijeljina",1,1,1,1,1.03105538829546,1.03105538829546,1.03105538829546
"Bosanska Dubica",5,58,115,58,183.50946022907,363.854964247295,183.50946022907
"Bosanska Gradiška",4,11,11,9,18.3412812218628,18.3412812218628,15.0065028178878
"Bosanska Krupa",257,803,1055,794,1376.88614540466,1808.98491083676,1361.45404663923
"Bosanski Brod",137,808,837,808,2366.86390532544,2451.81322866014,2366.86390532544
"Bosanski Novi",63,153,153,151,367.214688587543,367.214688587543,362.414496579863
"Bosanski Petrovac",8,194,289,194,1241.91793099033,1850.07361884642,1241.91793099033
"Bosanski Šamac",36,106,106,106,321.601941747573,321.601941747573,321.601941747573
"Bosansko Grahovo",35,116,166,116,1395.74058476718,1997.35290578751,1395.74058476718
"Bratunac",75,576,666,576,1713.31687438651,1981.0226360094,1713.31687438651
"Breza",6,8,8,8,46.1973782987815,46.1973782987815,46.1973782987815
"Brčko",403,4978,4990,4837,5680.89744028667,5694.59184954409,5519.98813151198
"Bugojno",99,697,704,684,1486.48936850861,1501.41824308473,1458.76431572437
"Busovača",58,227,247,222,1202.39419460777,1308.33200911065,1175.90974098204
"Cazin",126,342,527,339,539.355611979372,831.112302669968,534.624422400606
"Derventa",86,557,587,476,986.032678928641,1039.14036361061,842.641930287313
"Doboj",367,1269,1548,1219,1237.45721557499,1509.52227715531,1188.70003608031
"Donji Vakuf",45,130,430,95,529.661016949153,1751.9556714472,387.059973924381
"Drvar",6,20,20,20,116.781501810113,116.781501810113,116.781501810113
"Fojnica",87,316,316,274,1939.12616593029,1939.12616593029,1681.3942071674
"Foča",16,103,104,103,254.239379952114,256.707723446795,254.239379952114
"Glamoč",18,64,78,64,508.218851743032,619.39172556182,508.218851743032
"Goražde",370,2470,2938,2217,6573.86953397386,7819.44481409523,5900.51366672877
"Gornji Vakuf",216,749,749,698,2974.46487431,2974.46487431,2771.93121798181
"Gradačac",243,998,1009,997,1763.84298616143,1783.28414131952,1762.07560841979
"Gračanica",32,52,55,52,87.9358744546285,93.009097980857,87.9358744546285
"Hadžići",6,79,79,79,326.446280991736,326.446280991736,326.446280991736
"Ilidža",38,324,339,250,476.912433578168,498.991712910491,367.987988872043
"Ilijaš",27,76,78,76,301.778907242694,309.720457433291,301.778907242694
"Jablanica",83,322,322,322,2537.23110865968,2537.23110865968,2537.23110865968
"Jajce",134,775,778,736,1721.9543626547,1728.61999244562,1635.30117537272
"Kakanj",26,167,167,167,298.480786416443,298.480786416443,298.480786416443
